method,n,reps,runtime,obs_err
approx,512,20,8.292098646052181e-05,0.06943359375
approx,1024,20,0.00011872069735545665,0.043603515625
approx,2048,20,0.0003340958966873586,0.036669921875
approx,4096,20,0.0005121227994095534,0.02628173828125
approx,8192,20,0.0014100291999056935,0.016949462890625
approx,16384,20,0.0021030563104432074,0.0139801025390625
approx,32768,20,0.0060373208427336065,0.0088134765625
approx,65536,20,0.009251154103549198,0.006511688232421875
approx,131072,20,0.026281645745621064,0.004704666137695312
approx,262144,20,0.04294394795433618,0.003018760681152344
approx,524288,20,0.11863326249585952,0.002301311492919922
approx,786432,20,0.1581273832882289,0.0019196828206380155
approx,1048576,20,0.1990310145454714,0.0016901016235351563
exact,512,20,0.0031028291617985816,0.0763671875
exact,1024,20,0.013455412644543686,0.04853515625
exact,2048,20,0.05669100400118623,0.0392578125
exact,4096,20,0.23481488120451105,0.027783203125
exact,8192,20,0.9441208311443916,0.0177978515625
exact,16384,20,3.753720949948183,0.014556884765625
exact,32768,1,14.809172500041313,0.00665283203125
exact,65536,1,58.9532273329678,0.007049560546875
exact,131072,1,236.14176541700726,0.0045623779296875
exact,262144,1,948.9669075840502,0.00324249267578125
exact,524288,1,3780.4993432080373,0.002658843994140625
exact,786432,1,8473.679784125066,0.0014101664225260678
exact,1048576,1,15097.753108332981,0.0010738372802734375
